codigo_tse,sigla_partido,votos
10910,PSTU,1
10910,PT,2157
10910,REDE,10
10928,MDB,32
10928,NOVO,22
10928,PATRI,15
10928,PDT,445
10928,PODE,2
10928,PSDB,43
10928,PSL,344
10928,PSOL,5
10928,PSTU,2
10928,PT,3024
10928,REDE,10
10936,DC,1
10936,MDB,68
10936,NOVO,71
10936,PATRI,27
10936,PDT,881
10936,PODE,17
10936,PPL,1
10936,PSDB,164
10936,PSL,1115
10936,PSOL,22
10936,PSTU,5
10936,PT,6162
10936,REDE,17
10944,MDB,25
10944,NOVO,13
10944,PATRI,8
10944,PDT,161
10944,PODE,2
10944,PSDB,38
10944,PSL,284
10944,PSOL,14
10944,PT,2398
10944,REDE,23
10952,DC,1
10952,MDB,34
10952,NOVO,16
10952,PATRI,15
10952,PDT,475
10952,PODE,8
10952,PPL,2
10952,PSDB,105
10952,PSL,491
10952,PSOL,15
10952,PSTU,3
10952,PT,4085
10952,REDE,15
10960,MDB,26
10960,NOVO,14
10960,PATRI,4
10960,PDT,209
10960,PSDB,38
10960,PSL,128
10960,PSOL,6
10960,PT,2404
10960,REDE,7
10979,MDB,30
10979,NOVO,5
10979,PATRI,20
10979,PDT,362
10979,PODE,4
10979,PSDB,25
10979,PSL,202
10979,PSOL,3
10979,PT,3711
10979,REDE,6
10987,MDB,72
10987,NOVO,2
10987,PATRI,9
10987,PDT,356
10987,PODE,4
10987,PPL,1
10987,PSDB,371
10987,PSL,898
10987,PSOL,4
10987,PSTU,1
10987,PT,3260
10987,REDE,12
10995,MDB,45
10995,NOVO,30
10995,PATRI,72
10995,PDT,753
10995,PODE,10
10995,PPL,2
10995,PSDB,101
10995,PSL,782
10995,PSOL,8
10995,PSTU,2
10995,PT,4764
10995,REDE,18
11010,DC,5
11010,MDB,120
11010,NOVO,23
11010,PATRI,40
11010,PDT,542
11010,PODE,7
11010,PSDB,159
11010,PSL,987
11010,PSOL,10
11010,PSTU,2
11010,PT,4119
11010,REDE,18
11037,DC,1
11037,MDB,72
11037,NOVO,36
11037,PATRI,73
11037,PDT,1152
11037,PODE,17
11037,PPL,2
11037,PSDB,126
11037,PSL,928
11037,PSOL,30
11037,PSTU,1
11037,PT,6635
11037,REDE,20
01104,DC,1
01104,MDB,48
01104,NOVO,1
01104,PATRI,6
01104,PDT,167
01104,PODE,15
01104,PPL,2
01104,PSDB,378
01104,PSL,1081
01104,PSOL,4
01104,PSTU,1
01104,PT,1676
01104,REDE,18
11053,MDB,30
11053,NOVO,11
11053,PATRI,8
11053,PDT,342
11053,PODE,12
11053,PPL,2
11053,PSDB,78
11053,PSL,440
11053,PSOL,7
11053,PT,2358
11053,REDE,15
11070,DC,1
11070,MDB,84
11070,NOVO,12
11070,PATRI,32
11070,PDT,487
11070,PODE,51
11070,PPL,3
11070,PSDB,267
11070,PSL,1214
11070,PSOL,13
11070,PSTU,3
11070,PT,6043
11070,REDE,45
11088,MDB,17
11088,NOVO,34
11088,PATRI,15
11088,PDT,350
11088,PODE,4
11088,PSDB,25
11088,PSL,276
11088,PSOL,6
11088,PSTU,1
11088,PT,2600
11088,REDE,9
11096,DC,12
11096,MDB,215
11096,NOVO,92
11096,PATRI,62
11096,PDT,1703
11096,PODE,46
11096,PPL,4
11096,PSDB,446
11096,PSL,2662
11096,PSOL,64
11096,PSTU,6
11096,PT,19269
11096,REDE,139
11118,DC,1
11118,MDB,25
11118,NOVO,22
11118,PATRI,8
11118,PDT,283
11118,PODE,7
11118,PSDB,31
11118,PSL,391
11118,PSOL,6
11118,PT,2296
11118,REDE,10
01112,MDB,92
01112,NOVO,25
01112,PATRI,43
01112,PDT,319
01112,PODE,22
01112,PPL,3
01112,PSDB,600
01112,PSL,5567
01112,PSOL,25
01112,PSTU,2
01112,PT,1920
01112,REDE,111
11134,DC,3
11134,MDB,147
11134,NOVO,53
11134,PATRI,148
11134,PDT,2038
11134,PODE,34
11134,PSDB,654
11134,PSL,2752
11134,PSOL,42
11134,PSTU,4
11134,PT,11791
11134,REDE,125
11150,DC,2
11150,MDB,151
11150,NOVO,112
11150,PATRI,62
11150,PDT,1162
11150,PODE,40
11150,PPL,1
11150,PSDB,299
11150,PSL,2164
11150,PSOL,42
11150,PSTU,4
11150,PT,9822
11150,REDE,59
11177,DC,1
11177,MDB,56
11177,NOVO,10
11177,PATRI,19
11177,PDT,373
11177,PODE,7
11177,PSDB,49
11177,PSL,458
11177,PSOL,5
11177,PT,2387
11177,REDE,17
11193,MDB,18
11193,NOVO,39
11193,PATRI,14
11193,PDT,355
11193,PODE,4
11193,PSDB,84
11193,PSL,704
11193,PSOL,7
11193,PT,1585
11193,REDE,8
01120,DC,3
01120,MDB,61
01120,NOVO,7
01120,PATRI,18
01120,PDT,267
01120,PODE,35
01120,PPL,1
01120,PSDB,548
01120,PSL,4776
01120,PSOL,16
01120,PT,1130
01120,REDE,33
11215,DC,1
11215,MDB,59
11215,NOVO,12
11215,PATRI,23
11215,PDT,499
11215,PODE,11
11215,PPL,2
11215,PSDB,152
11215,PSL,907
11215,PSOL,6
11215,PSTU,3
11215,PT,4174
11215,REDE,13
11231,MDB,155
11231,NOVO,60
11231,PATRI,33
11231,PDT,1314
11231,PODE,26
11231,PPL,2
11231,PSDB,665
11231,PSL,1882
11231,PSOL,27
11231,PSTU,7
11231,PT,12603
11231,REDE,91
11258,MDB,9
